"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Hayden Hurst","ATL","TE12","0.0","0.0","0.0","3.4","40.0","0.2","0.0","5.4"
"Noah Fant","DEN","TE13","0.0","0.0","0.0","3.4","42.3","0.2","0.0","5.4"
"N'Keal Harry","NE","WR58","0.4","2.8","0.0","3.7","39.9","0.2","0.1","5.3"
"Curtis Samuel","CAR","WR59","1.8","9.7","0.1","2.6","30.0","0.2","0.0","5.3"
"Rex Burkhead","NE","RB38","6.5","24.6","0.2","1.9","16.1","0.0","0.1","5.2"
"Lamical Perine","NYJ","RB39","8.7","33.8","0.1","1.6","10.5","0.0","0.1","5.2"
"Jimmy Graham","CHI","TE14","0.0","0.0","0.0","3.9","40.3","0.2","0.0","5.2"
"Golden Tate","NYG","WR60","0.1","0.5","0.0","3.9","44.3","0.1","0.0","5.2"
"Zack Moss","BUF","RB40","8.1","31.3","0.2","1.3","9.0","0.0","0.1","5.1"
"Damiere Byrd","NE","WR61","0.0","0.2","0.0","3.4","42.4","0.1","0.0","5.0"
"Tyler Higbee","LAR","TE15","0.0","0.0","0.0","3.4","38.9","0.2","0.0","5.0"
"Danny Amendola","DET","WR62","0.0","0.1","0.0","3.3","41.5","0.1","0.0","5.0"
"Mecole Hardman","KC","WR63","0.2","0.9","0.0","2.4","38.1","0.2","0.0","5.0"
"Adam Humphries","TEN","WR64","0.1","0.5","0.0","3.7","38.6","0.2","0.0","5.0"
"James Washington","PIT","WR65","0.0","0.0","0.0","2.8","38.8","0.2","0.0","4.9"
"Russell Gage","ATL","WR66","0.2","0.8","0.0","3.8","40.0","0.1","0.0","4.9"
"Sammy Watkins","KC","WR67","0.0","0.6","0.0","2.6","34.2","0.2","0.0","4.8"
"Brian Hill","ATL","RB41","6.6","30.1","0.1","1.4","10.2","0.0","0.1","4.8"
"Greg Ward","PHI","WR68","0.2","0.6","0.0","3.9","37.1","0.2","0.0","4.8"
"Darnell Mooney","CHI","WR69","0.2","1.0","0.0","3.2","40.4","0.1","0.0","4.7"
"Scotty Miller","TB","WR70","0.3","1.4","0.0","2.6","37.5","0.1","0.0","4.7"
"Jonnu Smith","TEN","TE16","0.0","0.0","0.0","2.7","32.5","0.2","0.0","4.7"
"Dalton Schultz","DAL","TE17","0.0","0.0","0.0","3.4","38.2","0.2","0.1","4.7"
"Duke Johnson Jr.","HOU","RB42","4.3","19.7","0.1","2.2","19.7","0.1","0.1","4.6"
"Leonard Fournette","TB","RB43","7.3","25.9","0.2","1.3","9.2","0.0","0.0","4.6"
"Demarcus Robinson","KC","WR71","0.0","0.0","0.0","2.8","35.2","0.2","0.0","4.4"
"Tre'Quan Smith","NO","WR72","0.0","0.1","0.0","2.3","31.3","0.2","0.0","4.4"
