"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"DeAndre Washington","KC","2.3","4.9","0.0","0.8","2.6","0.0","0.0","0.7"
"Anthony Sherman","KC","0.5","0.4","0.0","0.4","2.4","0.1","0.0","0.6"
"Ryan Nall","CHI","2.2","3.5","0.0","0.6","2.3","0.0","0.0","0.6"
"Ryquell Armstead","JAC","1.5","3.3","0.0","1.3","2.4","0.0","0.0","0.6"
"Keith Smith","ATL","0.3","1.3","0.0","0.6","2.8","0.0","0.0","0.5"
"Elijhaa Penny","NYG","1.9","3.5","0.0","0.4","1.1","0.0","0.0","0.5"
"Taiwan Jones","BUF","0.4","1.0","0.0","0.2","2.4","0.0","0.0","0.4"
"Andy Janovich","CLE","0.0","0.1","0.0","0.4","2.5","0.0","0.0","0.4"
"Khari Blasingame","TEN","0.1","0.2","0.0","0.3","2.1","0.0","0.0","0.3"
"Bruce Miller","JAC","0.0","0.2","0.0","0.3","2.2","0.0","0.0","0.3"
"Gabe Nabers","LAC","0.3","1.9","0.0","0.1","1.0","0.0","0.0","0.3"
"Cullen Gillaspia","HOU","0.0","0.0","0.0","0.2","1.6","0.0","0.0","0.3"
"Michael Burton","NO","0.6","1.0","0.0","0.2","0.9","0.0","0.0","0.2"
"Senorise Perry","TEN","0.6","2.1","0.0","0.0","0.0","0.0","0.0","0.2"
"Nick Bellore","SEA","0.0","0.0","0.0","0.2","1.5","0.0","0.0","0.2"
"John Lovett","GB","0.2","0.6","0.0","0.2","0.7","0.0","0.0","0.2"
"Derek Watt","PIT","0.0","0.4","0.0","0.2","0.4","0.0","0.0","0.1"
"Buddy Howell","HOU","0.3","0.7","0.0","0.0","0.0","0.0","0.0","0.1"
""
""
