"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Trey Burton","IND","TE17","0.0","0.0","0.0","3.2","31.7","0.2","0.0","4.1"
"Larry Fitzgerald","ARI","WR72","0.0","0.0","0.0","3.2","34.0","0.1","0.0","4.1"
"Lamical Perine","NYJ","RB49","7.2","27.1","0.1","1.2","7.2","0.0","0.1","4.1"
"Kendrick Bourne","SF","WR73","0.0","0.0","0.0","2.6","32.6","0.1","0.0","4.1"
"Tyler Eifert","JAC","TE18","0.0","0.0","0.0","2.7","29.6","0.2","0.0","4.1"
"DaeSean Hamilton","DEN","WR74","0.0","0.2","0.0","3.0","33.0","0.1","0.0","4.1"
"Tony Pollard","DAL","RB50","5.2","22.8","0.1","1.4","8.5","0.0","0.1","3.9"
"Darren Fells","HOU","TE19","0.0","0.0","0.0","2.5","26.5","0.2","0.0","3.8"
"Logan Thomas","WAS","TE20","0.0","0.0","0.0","3.1","30.1","0.1","0.0","3.8"
"Josh Reynolds","LAR","WR75","0.1","0.5","0.0","2.2","31.5","0.1","0.0","3.8"
"Miles Boykin","BAL","WR76","0.0","0.0","0.0","2.2","29.4","0.1","0.0","3.8"
"Devine Ozigbo","JAC","RB51","3.0","13.5","0.1","1.2","12.2","0.1","0.0","3.8"
"Ke'Shawn Vaughn","TB","RB52","4.7","17.5","0.1","1.9","12.8","0.1","0.1","3.8"
"Gabriel Davis","BUF","WR77","0.1","0.6","0.0","2.3","30.0","0.1","0.0","3.8"
"Kalif Raymond","TEN","WR78","0.2","0.3","0.0","2.0","31.0","0.1","0.1","3.7"
"Chris Thompson","JAC","RB53","2.6","10.3","0.0","2.5","21.5","0.1","0.0","3.7"
"Irv Smith Jr.","MIN","TE21","0.0","0.0","0.0","2.8","29.5","0.1","0.0","3.7"
"John Hightower","PHI","WR79","0.1","0.4","0.0","2.5","31.8","0.1","0.0","3.7"
"Kenny Stills","HOU","WR80","0.0","0.0","0.0","2.0","27.9","0.2","0.0","3.7"
"Marcus Johnson","IND","WR81","0.0","0.0","0.0","1.9","29.0","0.1","0.0","3.6"
"Andy Isabella","ARI","WR82","0.2","0.5","0.0","1.8","26.8","0.1","0.0","3.6"
"Chris Conley","JAC","WR83","0.0","0.0","0.0","2.0","29.2","0.1","0.0","3.5"
"Kerryon Johnson","DET","RB54","4.7","20.7","0.1","1.0","6.5","0.0","0.1","3.5"
