"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Chad Beebe","MIN","1.2","15.3","0.1","0.1","0.3","0.0","0.0","1.9"
"Auden Tate","CIN","1.2","15.3","0.1","0.0","0.0","0.0","0.0","1.8"
"Lynn Bowden Jr.","MIA","0.4","4.2","0.0","1.3","8.0","0.1","0.0","1.8"
"Antonio Gandy-Golden","WAS","1.0","13.0","0.0","0.4","1.8","0.0","0.0","1.7"
"Byron Pringle","KC","1.0","12.9","0.1","0.0","0.1","0.0","0.0","1.7"
"Jamal Agnew","DET","0.7","8.4","0.1","0.5","2.6","0.0","0.0","1.5"
"John Ross","CIN","0.8","12.1","0.0","0.1","0.8","0.0","0.0","1.5"
"Darrius Shepherd","GB","1.0","13.6","0.0","0.1","0.2","0.0","0.0","1.5"
"Malik Taylor","GB","0.9","11.4","0.1","0.0","0.2","0.0","0.0","1.5"
"Austin Mack","NYG","0.8","10.0","0.1","0.0","0.4","0.0","0.0","1.5"
"Christian Blake","ATL","1.1","13.2","0.0","0.1","0.3","0.0","0.0","1.5"
"Noah Brown","DAL","1.0","11.2","0.0","0.0","0.0","0.0","0.0","1.4"
"Trent Taylor","SF","1.3","12.5","0.0","0.0","0.0","0.0","0.0","1.3"
"Daurice Fountain","IND","0.9","11.2","0.0","0.1","0.3","0.0","0.0","1.3"
"Ted Ginn Jr.","CHI","0.8","10.3","0.0","0.0","0.3","0.0","0.0","1.3"
"Denzel Mims","NYJ","0.8","10.0","0.1","0.0","0.0","0.0","0.0","1.3"
"Seth Roberts","CAR","1.0","11.3","0.0","0.0","0.0","0.0","0.0","1.3"
"JJ Arcega-Whiteside","PHI","0.9","12.9","0.0","0.0","0.2","0.0","0.0","1.3"
"Nick Westbrook-Ikhine","TEN","0.7","9.5","0.1","0.0","0.1","0.0","0.0","1.2"
"Diontae Spencer","DEN","0.8","9.7","0.0","0.0","0.2","0.0","0.0","1.2"
"Marvin Hall","DET","0.5","9.1","0.0","0.0","0.2","0.0","0.0","1.2"
"Keith Kirkwood","CAR","0.8","8.6","0.0","0.0","0.0","0.0","0.0","1.1"
"Taywan Taylor","CLE","0.4","7.0","0.1","0.0","0.1","0.0","0.0","1.0"
"Ashton Dulin","IND","0.6","8.0","0.0","0.0","0.4","0.0","0.0","1.0"
"Justin Watson","TB","0.6","8.5","0.0","0.0","0.1","0.0","0.0","1.0"
"Dan Chisena","MIN","0.4","7.3","0.0","0.0","0.2","0.0","0.0","0.9"
"Cam Sims","WAS","0.6","7.1","0.0","0.0","0.0","0.0","0.0","0.9"
"Cam Batson","TEN","0.5","6.9","0.0","0.0","0.8","0.0","0.0","0.9"
"Brandon Zylstra","CAR","0.5","6.5","0.0","0.0","0.1","0.0","0.0","0.9"
"Gunner Olszewski","NE","0.6","7.4","0.0","0.0","0.1","0.0","0.0","0.9"
"Javon Wims","CHI","0.7","7.3","0.0","0.0","0.0","0.0","0.0","0.9"
"Quez Watkins","PHI","0.6","7.0","0.0","0.0","0.2","0.0","0.0","0.9"
"KeeSean Johnson","ARI","0.5","6.3","0.0","0.0","0.0","0.0","0.0","0.8"
"Alex Erickson","CIN","0.6","6.4","0.0","0.1","0.5","0.0","0.0","0.8"
"Tyrie Cleveland","DEN","0.5","6.3","0.0","0.0","0.2","0.0","0.0","0.8"
"Isaiah Zuber","NE","0.4","5.6","0.0","0.1","0.8","0.0","0.0","0.7"
"Quintez Cephus","DET","0.4","6.2","0.0","0.0","0.1","0.0","0.0","0.7"
"Matthew Slater","NE","0.2","4.8","0.0","0.0","0.1","0.0","0.0","0.6"
"Cyril Grayson Jr.","TB","0.2","4.6","0.0","0.0","0.2","0.0","0.0","0.6"
"Donovan Peoples-Jones","CLE","0.3","4.5","0.0","0.0","0.3","0.0","0.0","0.6"
"Kevin White","SF","0.1","4.4","0.0","0.0","0.1","0.0","0.0","0.6"
"Brandon Powell","ATL","0.3","4.1","0.0","0.0","0.3","0.0","0.0","0.6"
"Andre Roberts","BUF","0.4","4.5","0.0","0.0","0.4","0.0","0.0","0.6"
"Jaydon Mickens","TB","0.4","4.6","0.0","0.0","0.0","0.0","0.0","0.5"
"DeAndre Carter","HOU","0.3","3.7","0.0","0.0","0.2","0.0","0.0","0.5"
"Cody Hollister","TEN","0.4","4.3","0.0","0.0","0.1","0.0","0.0","0.4"
"Nsimba Webster","LAR","0.0","3.2","0.0","0.0","0.5","0.0","0.0","0.4"
"Trent Sherfield","ARI","0.2","3.1","0.0","0.0","0.0","0.0","0.0","0.4"
"Chris Moore","BAL","0.2","3.4","0.0","0.0","0.2","0.0","0.0","0.4"
"Pharoh Cooper","CAR","0.2","3.0","0.0","0.0","0.2","0.0","0.0","0.4"
"Tajae Sharpe","MIN","0.1","2.1","0.0","0.0","0.0","0.0","0.0","0.3"
"James Proche","BAL","0.1","1.8","0.0","0.0","0.2","0.0","0.0","0.2"
"Mack Hollins","MIA","0.1","1.8","0.0","0.0","0.1","0.0","0.0","0.2"
"Keke Coutee","HOU","0.1","0.5","0.0","0.1","0.4","0.0","0.0","0.1"
"Malik Turner","DAL","0.1","0.7","0.0","0.0","0.0","0.0","0.0","0.1"
"Dede Westbrook","JAC","0.1","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
""
""
