Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Ricky Seals-Jones (15962367),Ricky Seals-Jones,15962367,TE/FLEX,2500,KC@NO 12/20/2020 04:25PM ET,KC,0
TE,James Winchester (15962369),James Winchester,15962369,TE/FLEX,2500,KC@NO 12/20/2020 04:25PM ET,KC,0
TE,Tanner Hudson (15962345),Tanner Hudson,15962345,TE/FLEX,2500,TB@ATL 12/20/2020 01:00PM ET,TB,1.37
TE,Antony Auclair (15962347),Antony Auclair,15962347,TE/FLEX,2500,TB@ATL 12/20/2020 01:00PM ET,TB,0
TE,O.J. Howard (15962349),O.J. Howard,15962349,TE/FLEX,2500,TB@ATL 12/20/2020 01:00PM ET,TB,9.4
TE,Luke Stocker (15962351),Luke Stocker,15962351,TE/FLEX,2500,TB@ATL 12/20/2020 01:00PM ET,ATL,0.56
TE,Jaeden Graham (15962353),Jaeden Graham,15962353,TE/FLEX,2500,TB@ATL 12/20/2020 01:00PM ET,ATL,0.79
TE,Donald Parham Jr. (15962175),Donald Parham Jr.,15962175,TE/FLEX,2500,LAC@LV 12/17/2020 08:20PM ET,LAC,3.06
TE,Stephen Anderson (15962333),Stephen Anderson,15962333,TE/FLEX,2500,LAC@LV 12/17/2020 08:20PM ET,LAC,0.32
TE,Virgil Green (15962335),Virgil Green,15962335,TE/FLEX,2500,LAC@LV 12/17/2020 08:20PM ET,LAC,2.33
TE,Jason Witten (15962337),Jason Witten,15962337,TE/FLEX,2500,LAC@LV 12/17/2020 08:20PM ET,LV,3.19
TE,Foster Moreau (15962339),Foster Moreau,15962339,TE/FLEX,2500,LAC@LV 12/17/2020 08:20PM ET,LV,5.62
TE,Derek Carrier (15962341),Derek Carrier,15962341,TE/FLEX,2500,LAC@LV 12/17/2020 08:20PM ET,LV,0.4
TE,Nick O'Leary (15962343),Nick O'Leary,15962343,TE/FLEX,2500,LAC@LV 12/17/2020 08:20PM ET,LV,0
TE,Troy Fumagalli (15962315),Troy Fumagalli,15962315,TE/FLEX,2500,BUF@DEN 12/19/2020 04:30PM ET,DEN,2.5
TE,Albert Okwuegbunam (15962317),Albert Okwuegbunam,15962317,TE/FLEX,2500,BUF@DEN 12/19/2020 04:30PM ET,DEN,7.28
TE,Jake Butt (15962319),Jake Butt,15962319,TE/FLEX,2500,BUF@DEN 12/19/2020 04:30PM ET,DEN,0.62
TE,Austin Fort (15962321),Austin Fort,15962321,TE/FLEX,2500,BUF@DEN 12/19/2020 04:30PM ET,DEN,0
TE,Andrew Beck (15962323),Andrew Beck,15962323,TE/FLEX,2500,BUF@DEN 12/19/2020 04:30PM ET,DEN,0
TE,Tyler Kroft (15962325),Tyler Kroft,15962325,TE/FLEX,2500,BUF@DEN 12/19/2020 04:30PM ET,BUF,5.99
TE,Lee Smith (15962327),Lee Smith,15962327,TE/FLEX,2500,BUF@DEN 12/19/2020 04:30PM ET,BUF,2.8
TE,Tommy Sweeney (15962329),Tommy Sweeney,15962329,TE/FLEX,2500,BUF@DEN 12/19/2020 04:30PM ET,BUF,0
TE,Reggie Gilliam (15962331),Reggie Gilliam,15962331,TE/FLEX,2500,BUF@DEN 12/19/2020 04:30PM ET,BUF,2.4
TE,Jeremy Sprinkle (15962301),Jeremy Sprinkle,15962301,TE/FLEX,2500,SEA@WAS 12/20/2020 01:00PM ET,WAS,0.27
TE,Marcus Baugh (15962303),Marcus Baugh,15962303,TE/FLEX,2500,SEA@WAS 12/20/2020 01:00PM ET,WAS,1.2
TE,Temarrick Hemingway (15962305),Temarrick Hemingway,15962305,TE/FLEX,2500,SEA@WAS 12/20/2020 01:00PM ET,WAS,0.67
TE,Thaddeus Moss (15962307),Thaddeus Moss,15962307,TE/FLEX,2500,SEA@WAS 12/20/2020 01:00PM ET,WAS,0
TE,Colby Parkinson (15962309),Colby Parkinson,15962309,TE/FLEX,2500,SEA@WAS 12/20/2020 01:00PM ET,SEA,3.6
TE,Greg Olsen (15962311),Greg Olsen,15962311,TE/FLEX,2500,SEA@WAS 12/20/2020 01:00PM ET,SEA,5.14
TE,Tyler Ott (15962313),Tyler Ott,15962313,TE/FLEX,2500,SEA@WAS 12/20/2020 01:00PM ET,SEA,0
TE,Kaden Smith (15962291),Kaden Smith,15962291,TE/FLEX,2500,CLE@NYG 12/20/2020 08:20PM ET,NYG,2.13
TE,Levine Toilolo (15962293),Levine Toilolo,15962293,TE/FLEX,2500,CLE@NYG 12/20/2020 08:20PM ET,NYG,0.87
TE,Harrison Bryant (15962295),Harrison Bryant,15962295,TE/FLEX,2500,CLE@NYG 12/20/2020 08:20PM ET,CLE,4.84
TE,David Njoku (15962297),David Njoku,15962297,TE/FLEX,2500,CLE@NYG 12/20/2020 08:20PM ET,CLE,4.9
TE,Stephen Carlson (15962299),Stephen Carlson,15962299,TE/FLEX,2500,CLE@NYG 12/20/2020 08:20PM ET,CLE,0.68
TE,Tyler Conklin (15962277),Tyler Conklin,15962277,TE/FLEX,2500,CHI@MIN 12/20/2020 01:00PM ET,MIN,2.6
TE,Hale Hentges (15962279),Hale Hentges,15962279,TE/FLEX,2500,CHI@MIN 12/20/2020 01:00PM ET,MIN,0
TE,Andrew DePaola (15962281),Andrew DePaola,15962281,TE/FLEX,2500,CHI@MIN 12/20/2020 01:00PM ET,MIN,0
TE,Demetrius Harris (15962283),Demetrius Harris,15962283,TE/FLEX,2500,CHI@MIN 12/20/2020 01:00PM ET,CHI,1.15
TE,J.P. Holtz (15962285),J.P. Holtz,15962285,TE/FLEX,2500,CHI@MIN 12/20/2020 01:00PM ET,CHI,0
TE,Darion Clark (15962287),Darion Clark,15962287,TE/FLEX,2500,CHI@MIN 12/20/2020 01:00PM ET,CHI,0
TE,Patrick Scales (15962289),Patrick Scales,15962289,TE/FLEX,2500,CHI@MIN 12/20/2020 01:00PM ET,CHI,0
TE,Ian Thomas (15962263),Ian Thomas,15962263,TE/FLEX,2500,CAR@GB 12/19/2020 08:15PM ET,CAR,3.06
TE,Chris Manhertz (15962265),Chris Manhertz,15962265,TE/FLEX,2500,CAR@GB 12/19/2020 08:15PM ET,CAR,1.6
TE,Colin Thompson (15962267),Colin Thompson,15962267,TE/FLEX,2500,CAR@GB 12/19/2020 08:15PM ET,CAR,3.85
TE,Marcedes Lewis (15962269),Marcedes Lewis,15962269,TE/FLEX,2500,CAR@GB 12/19/2020 08:15PM ET,GB,3.68
TE,Dominique Dafney (15962271),Dominique Dafney,15962271,TE/FLEX,2500,CAR@GB 12/19/2020 08:15PM ET,GB,0
TE,Josiah Deguara (15962273),Josiah Deguara,15962273,TE/FLEX,2500,CAR@GB 12/19/2020 08:15PM ET,GB,1.1
TE,John Lovett (15962275),John Lovett,15962275,TE/FLEX,2500,CAR@GB 12/19/2020 08:15PM ET,GB,0.15
TE,Mo Alie-Cox (15962253),Mo Alie-Cox,15962253,TE/FLEX,2500,HOU@IND 12/20/2020 01:00PM ET,IND,6.5
TE,Noah Togiai (15962255),Noah Togiai,15962255,TE/FLEX,2500,HOU@IND 12/20/2020 01:00PM ET,IND,0
TE,Pharaoh Brown (15962257),Pharaoh Brown,15962257,TE/FLEX,2500,HOU@IND 12/20/2020 01:00PM ET,HOU,2.93
TE,Darren Fells (15962259),Darren Fells,15962259,TE/FLEX,2500,HOU@IND 12/20/2020 01:00PM ET,HOU,6.09
TE,Kahale Warring (15962261),Kahale Warring,15962261,TE/FLEX,2500,HOU@IND 12/20/2020 01:00PM ET,HOU,0
TE,Chris Herndon (15962239),Chris Herndon,15962239,TE/FLEX,2500,NYJ@LAR 12/20/2020 04:05PM ET,NYJ,3.52
TE,Ryan Griffin (15962241),Ryan Griffin,15962241,TE/FLEX,2500,NYJ@LAR 12/20/2020 04:05PM ET,NYJ,1.96
TE,Trevon Wesco (15962243),Trevon Wesco,15962243,TE/FLEX,2500,NYJ@LAR 12/20/2020 04:05PM ET,NYJ,0.75
TE,Daniel Brown (15962245),Daniel Brown,15962245,TE/FLEX,2500,NYJ@LAR 12/20/2020 04:05PM ET,NYJ,0
TE,Ross Travis (15962247),Ross Travis,15962247,TE/FLEX,2500,NYJ@LAR 12/20/2020 04:05PM ET,NYJ,0
TE,Johnny Mundt (15962249),Johnny Mundt,15962249,TE/FLEX,2500,NYJ@LAR 12/20/2020 04:05PM ET,LAR,3.1
TE,Brycen Hopkins (15962251),Brycen Hopkins,15962251,TE/FLEX,2500,NYJ@LAR 12/20/2020 04:05PM ET,LAR,0
TE,Geoff Swaim (15962231),Geoff Swaim,15962231,TE/FLEX,2500,DET@TEN 12/20/2020 01:00PM ET,TEN,3.33
TE,MyCole Pruitt (15962233),MyCole Pruitt,15962233,TE/FLEX,2500,DET@TEN 12/20/2020 01:00PM ET,TEN,6.48
TE,Jesse James (15962235),Jesse James,15962235,TE/FLEX,2500,DET@TEN 12/20/2020 01:00PM ET,DET,3.56
TE,Hunter Bryant (15962237),Hunter Bryant,15962237,TE/FLEX,2500,DET@TEN 12/20/2020 01:00PM ET,DET,0
TE,Nick Boyle (15962219),Nick Boyle,15962219,TE/FLEX,2500,JAX@BAL 12/20/2020 01:00PM ET,BAL,4.14
TE,James O'Shaughnessy (15962221),James O'Shaughnessy,15962221,TE/FLEX,2500,JAX@BAL 12/20/2020 01:00PM ET,JAX,3.9
TE,Eric Saubert (15962223),Eric Saubert,15962223,TE/FLEX,2500,JAX@BAL 12/20/2020 01:00PM ET,JAX,0.68
TE,Tyler Davis (15962225),Tyler Davis,15962225,TE/FLEX,2500,JAX@BAL 12/20/2020 01:00PM ET,JAX,0
TE,Ben Ellefson (15962227),Ben Ellefson,15962227,TE/FLEX,2500,JAX@BAL 12/20/2020 01:00PM ET,JAX,1.33
TE,Josh Oliver (15962229),Josh Oliver,15962229,TE/FLEX,2500,JAX@BAL 12/20/2020 01:00PM ET,JAX,0
TE,Dalton Keene (15962209),Dalton Keene,15962209,TE/FLEX,2500,NE@MIA 12/20/2020 01:00PM ET,NE,1.8
TE,Devin Asiasi (15962211),Devin Asiasi,15962211,TE/FLEX,2500,NE@MIA 12/20/2020 01:00PM ET,NE,0
TE,Jordan Thomas (15962213),Jordan Thomas,15962213,TE/FLEX,2500,NE@MIA 12/20/2020 01:00PM ET,NE,3.65
TE,Ryan Izzo (15962215),Ryan Izzo,15962215,TE/FLEX,2500,NE@MIA 12/20/2020 01:00PM ET,NE,3.19
TE,Chris Myarick (15962217),Chris Myarick,15962217,TE/FLEX,2500,NE@MIA 12/20/2020 01:00PM ET,MIA,0
TE,Maxx Williams (15962201),Maxx Williams,15962201,TE/FLEX,2500,PHI@ARI 12/20/2020 04:05PM ET,ARI,3.8
TE,Seth DeValve (15962203),Seth DeValve,15962203,TE/FLEX,2500,PHI@ARI 12/20/2020 04:05PM ET,ARI,0
TE,Darrell Daniels (15962205),Darrell Daniels,15962205,TE/FLEX,2500,PHI@ARI 12/20/2020 04:05PM ET,ARI,2.9
TE,Joshua Perkins (15962207),Joshua Perkins,15962207,TE/FLEX,2500,PHI@ARI 12/20/2020 04:05PM ET,PHI,0
DST,Eagles  (15962393),Eagles ,15962393,DST,2500,PHI@ARI 12/20/2020 04:05PM ET,PHI,6.85
