,TmOFNS,GOFNS,PlaysOFNS,ToGoOFNS,YdsOFNS,1st%OFNS,TO%OFNS,TDOFNS,FGOFNS,nanOFNS,IntOFNS,FmbOFNS,SkOFNS,PassOFNS,RushOFNS,FGOFNS1,PuntOFNS,Week,TmDFNS,GDFNS,PlaysDFNS,ToGoDFNS,YdsDFNS,1st%DFNS,TO%DFNS,TDDFNS,FGDFNS,nanDFNS,IntDFNS,FmbDFNS,SkDFNS,PassDFNS,RushDFNS,FGDFNS1,PuntDFNS,RkALLSCR,TmALLSCR,YearALLSCR,DateALLSCR,TimeALLSCR,LTimeALLSCR,nanALLSCR,OppALLSCR,WeekALLSCR,G#ALLSCR,DayALLSCR,ResultALLSCR,OTALLSCR,TDALLSCR,XPAALLSCR,XPMALLSCR,FGAALLSCR,FGMALLSCR,2PAALLSCR,2PMALLSCR,SftyALLSCR,RkDSTSCR,TmDSTSCR,YearDSTSCR,DateDSTSCR,TimeDSTSCR,LTimeDSTSCR,nanDSTSCR,OppDSTSCR,WeekDSTSCR,G#DSTSCR,DayDSTSCR,ResultDSTSCR,OTDSTSCR,KRDSTSCR,PRDSTSCR,IRDSTSCR,FRDSTSCR,ORDSTSCR,RetTDDSTSCR,PtsFor,PtsAgainst,Opponent
25,LAR,1,84,6.8,5.0,0.274,0.012,2,2,23.0,1,0,1,32,40,3,3,1,LAR,1,82,7.8,4.6,0.28,0.0,2,1,23.0,0,0,3,42,27,2,4,27,LAR,2020,2020-09-13,08:20:00,05:20:00,0,DAL,1,1,Sun,W 20-17,0,2,2,2,3,2,0,0,0,26,LAR,2020,2020-09-13,08:20:00,05:20:00,0,DAL,1,1,Sun,W 20-17,0,0,0,0,0,0,0,20,17,DAL
26,BAL,1,69,8.3,5.5,0.333,0.014,5,1,23.0,0,1,2,28,30,1,3,1,BAL,1,80,9.0,3.9,0.213,0.038,1,0,17.0,1,2,2,41,26,1,4,2,BAL,2020,2020-09-13,01:00:00,01:00:00,0,CLE,1,1,Sun,W 38-6,0,5,5,5,1,1,0,0,0,27,BAL,2020,2020-09-13,01:00:00,01:00:00,0,CLE,1,1,Sun,W 38-6,0,0,0,0,0,0,0,38,6,CLE
27,LAC,1,85,7.3,4.3,0.2,0.0,1,3,17.0,0,0,2,32,39,4,5,1,LAC,1,81,8.5,3.6,0.235,0.025,1,2,19.0,1,1,3,39,28,3,6,32,LAC,2020,2020-09-13,04:05:00,04:05:00,@,CIN,1,1,Sun,W 16-13,0,1,1,1,4,3,0,0,0,28,LAC,2020,2020-09-13,04:05:00,04:05:00,@,CIN,1,1,Sun,W 16-13,0,0,0,0,0,0,0,16,13,CIN
28,SEA,1,73,7.4,5.2,0.288,0.0,5,1,21.0,0,0,3,38,20,1,4,1,SEA,1,91,7.4,5.5,0.297,0.022,3,2,27.0,1,1,2,56,20,2,3,3,SEA,2020,2020-09-13,01:00:00,01:00:00,@,ATL,1,1,Sun,W 38-25,0,5,5,5,1,1,0,0,0,29,SEA,2020,2020-09-13,01:00:00,01:00:00,@,ATL,1,1,Sun,W 38-25,0,0,0,0,0,0,0,38,25,ATL
29,SFO,1,74,7.3,4.9,0.23,0.0,2,2,17.0,0,0,3,36,25,2,5,1,SFO,1,93,8.6,4.3,0.28,0.011,3,1,26.0,1,0,2,42,36,3,4,28,SFO,2020,2020-09-13,04:25:00,01:25:00,0,ARI,1,1,Sun,L 20-24,0,2,2,2,2,2,0,0,0,30,SFO,2020,2020-09-13,04:25:00,01:25:00,0,ARI,1,1,Sun,L 20-24,0,0,0,0,0,0,0,20,24,ARI
30,TAM,1,82,7.9,3.8,0.22,0.037,3,1,18.0,2,1,3,39,26,2,5,1,TAM,1,83,6.9,3.3,0.181,0.0,3,2,15.0,0,0,1,32,34,2,6,17,TAM,2020,2020-09-13,04:25:00,03:25:00,@,NOR,1,1,Sun,L 23-34,0,3,2,2,2,1,1,0,0,31,TAM,2020,2020-09-13,04:25:00,03:25:00,@,NOR,1,1,Sun,L 23-34,0,0,0,0,0,0,0,23,34,NOR
31,WAS,1,87,7.4,2.7,0.184,0.0,3,2,16.0,0,0,3,34,36,3,7,1,WAS,1,82,8.9,3.2,0.22,0.037,2,1,18.0,2,1,8,50,17,2,5,18,WAS,2020,2020-09-13,01:00:00,01:00:00,0,PHI,1,1,Sun,W 27-17,0,3,3,3,3,2,0,0,0,32,WAS,2020,2020-09-13,01:00:00,01:00:00,0,PHI,1,1,Sun,W 27-17,0,0,0,0,0,0,0,27,17,PHI
32,BUF,1,86,7.6,4.3,0.233,0.023,3,3,20.0,2,0,0,50,18,3,4,10,BUF,1,86,7.5,5.3,0.291,0.023,3,4,25.0,1,1,3,35,35,4,3,5,BUF,2020,2020-11-15,04:05:00,02:05:00,@,ARI,10,10,Sun,L 30-32,0,3,3,3,3,3,0,0,0,2,BUF,2020,2020-11-15,04:05:00,02:05:00,@,ARI,10,10,Sun,L 30-32,0,0,0,0,0,0,0,30,32,ARI
33,CAR,1,65,6.5,3.0,0.185,0.015,3,1,12.0,1,0,3,30,16,1,5,10,CAR,1,91,7.2,6.0,0.297,0.011,5,4,27.0,0,1,1,40,37,4,0,6,CAR,2020,2020-11-15,01:00:00,01:00:00,0,TAM,10,10,Sun,L 23-46,0,3,2,2,1,1,1,0,0,3,CAR,2020,2020-11-15,01:00:00,01:00:00,0,TAM,10,10,Sun,L 23-46,0,0,0,0,0,0,0,23,46,TAM
34,CHI,1,63,7.4,2.4,0.159,0.016,1,2,10.0,1,0,2,33,17,2,5,10,CHI,1,83,8.1,4.6,0.217,0.036,2,2,18.0,1,2,1,37,33,2,5,22,CHI,2020,2020-11-16,08:15:00,07:15:00,0,MIN,10,10,Mon,L 13-19,0,1,1,1,2,2,0,0,0,1,CHI,2020,2020-11-16,08:15:00,07:15:00,0,MIN,10,10,Mon,L 13-19,0,1,0,0,0,0,1,13,19,MIN
35,CIN,1,84,8.6,3.4,0.19,0.012,1,1,16.0,0,1,4,44,20,1,10,10,CIN,1,83,8.1,4.5,0.229,0.012,4,3,19.0,0,1,0,46,20,3,7,23,CIN,2020,2020-11-15,04:25:00,04:25:00,@,PIT,10,9,Sun,L 10-36,0,1,1,1,1,1,0,0,0,4,CIN,2020,2020-11-15,04:25:00,04:25:00,@,PIT,10,9,Sun,L 10-36,0,0,0,0,0,0,0,10,36,PIT
36,CLE,1,70,7.9,5.1,0.257,0.0,1,1,18.0,0,0,1,21,41,1,4,10,CLE,1,63,7.7,3.9,0.238,0.0,1,0,15.0,0,0,2,32,22,2,3,24,CLE,2020,2020-11-15,01:00:00,01:00:00,0,HOU,10,9,Sun,W 10-7,0,1,1,1,1,1,0,0,0,5,CLE,2020,2020-11-15,01:00:00,01:00:00,0,HOU,10,9,Sun,W 10-7,0,0,0,0,0,0,0,10,7,HOU
37,IND,1,80,6.5,5.4,0.313,0.0,3,2,25.0,0,0,1,40,29,2,1,10,IND,1,73,7.3,4.0,0.26,0.0,2,1,19.0,0,0,1,28,32,2,3,2,IND,2020,2020-11-12,08:20:00,07:20:00,@,TEN,10,9,Thu,W 34-17,0,4,4,4,2,2,0,0,0,6,IND,2020,2020-11-12,08:20:00,07:20:00,@,TEN,10,9,Thu,W 34-17,0,0,0,0,0,1,1,34,17,TEN
38,ARI,1,86,7.5,5.3,0.291,0.023,3,4,25.0,1,1,3,35,35,4,3,10,ARI,1,86,7.6,4.3,0.233,0.023,3,3,20.0,2,0,0,50,18,3,4,7,ARI,2020,2020-11-15,04:05:00,02:05:00,0,BUF,10,9,Sun,W 32-30,0,3,2,2,4,4,1,0,0,7,ARI,2020,2020-11-15,04:05:00,02:05:00,0,BUF,10,9,Sun,W 32-30,0,0,0,0,0,0,0,32,30,BUF
39,DEN,1,83,7.7,3.8,0.217,0.06,1,2,18.0,4,1,2,49,19,2,4,10,DEN,1,81,7.4,4.4,0.235,0.0,4,3,19.0,0,0,0,25,41,3,4,25,DEN,2020,2020-11-15,04:05:00,01:05:00,@,LVR,10,9,Sun,L 12-37,0,1,0,0,2,2,1,0,0,8,DEN,2020,2020-11-15,04:05:00,01:05:00,@,LVR,10,9,Sun,L 12-37,0,0,0,0,0,0,0,12,37,LVR
